ec_num	uniprot_id	opt	species	references	comments	opt_mean
3.1.1.20	C7F6Y1	2.0	Aspergillus awamori	21279470,21030825	#39# two pH optima are observed for maximal activity, one at pH 2.0 and the other at a pH 8.0 <77>; #79# two pH optima, pH 2.0 and pH 8.0, are recorded <88>	2.0
3.4.23.1	Q6HA04	2.0	Trematomus bernacchii	36374,6774974,2515193,17976195,25608034,28982106,29072742,26740464,28024644	#23# isoform PG2-2, for hemoglobin digestion <86>	2.0
3.2.1.3	Q6KYX5	2.0	Picrophilus torridus	12448707,19708824,21063806	#97# extracellular enzyme <132>; #77# both free and immobilized enzymes <169>	2.0
3.1.3.26	P07102	2.0	Escherichia coli	18399637,25588560	#137# a high concentration of sodium chloride shifts the pH optimum to 2.0 from 5.5 <112>	2.0
3.4.23.3	P20142	2.0	Homo sapiens	29108629	None	2.0
3.2.1.8	P33557	2.0	Aspergillus luchuensis	8987553,26686608	#271# wild-type <331>	2.0
1.10.3.2	I6QS85	2.0	Trametes versicolor	14504838,22210206,23775771,25272733,27577103	#84# or below, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <69>; #179# wild-type enzyme with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid) <186>; #86# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <191>; #213# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <216>	2.0
3.4.23.1	Q6HA05	2.0	Trematomus bernacchii	36374,6774974,2515193,17976195,25608034,28982106,29072742,26740464,28024644	#23# isoform PG2-2, for hemoglobin digestion <86>	2.0
3.2.1.49	G5D7B5	2.0-2.4	Aspergillus niger	21982820	None	2.2
3.4.23.18	A0A146F0J0	2.2	Aspergillus pseudoglaucus	30303449	#16# pH optimum for milk protein hydrolysis <34>	2.2
6.5.1.1	Q2PCE4	1.5-3.0	Ferroplasma acidiphilum	18577594	#73# pH-optimum in vitro <141>	2.25
3.2.1.96	A0A2Z5VGL1	2.3	Sphingobacterium sp.	29321565	None	2.3
3.2.1.96	A0A2Z5VGM9	2.3	Sphingobacterium sp.	29321565	None	2.3
3.2.1.78	Q2LE69	2.4	Aspergillus sulphureus	17194495	None	2.4
1.11.1.14	P11542	2.5	Phanerodontia chrysosporium	9498823,19916925,2337347	#19# Lip-2 <12>; #46# substrate veratryl alcohol, 25°C <56>	2.5
1.8.2.2	B7J3E3	2.5	Acidithiobacillus ferrooxidans	23064330	None	2.5
3.2.1.14	Q973G3	2.5	Sulfurisphaera tokodaii	19297695,22154063	#227# with substrate 4-nitrophenyl N-acetylchitobioside <237>	2.5
1.10.3.2	B5G555	2.5	Ganoderma fornicatum	11916665,22394061	#79# both isoenzymes, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <56>; #47,191# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <197,198>	2.5
3.1.3.8	G8GYH6	2.5	Aspergillus niger	12659840,17351092,17958557,20376636,18650085,19378262,25595493,27250653,27363471,25963718	#83,135# recombinant enzyme <100,217>; #70# and a second optimum which is higher at pH 5.0 <29>; #70# and a second higher pH optimum at pH 5.5 <41>; #58# optima at pH 2.5 and 5.5 <85>; #198# optimum 1, wild-type enzyme <187>	2.5
3.1.3.8	Q6T9Z6	2.5	Aspergillus niger	12659840,17351092,17958557,20376636,18650085,19378262,25595493,27250653,27363471,25963718	#83,135# recombinant enzyme <100,217>; #70# and a second optimum which is higher at pH 5.0 <29>; #70# and a second higher pH optimum at pH 5.5 <41>; #58# optima at pH 2.5 and 5.5 <85>; #198# optimum 1, wild-type enzyme <187>	2.5
3.4.23.18	Q334I5	2.5	Trichoderma harzianum	29499778	None	2.5
3.2.1.96	A0A2Z5VGN0	2.5	Sphingobacterium sp.	29321565	None	2.5
3.2.1.23	B6HYI9	2.5	Aspergillus niger	20496147	#260# wild-type <232>	2.5
3.2.1.96	A0A2Z5VGV8	2.5	Sphingobacterium sp.	29321565	None	2.5
3.2.1.14	P29029	2.6	Saccharomyces cerevisiae	17524989	#260# substrate: 4-methylumbelliferyl-N,N,N-triacetylchitotriose <161>	2.6
1.10.3.2	A0A0U2LZJ6	2.6	Daucus carota	27793681,26626349	#220# laccase DcLac2 <255>; #106# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <232>	2.6
3.4.21.101	Q60106	2.7	Xanthomonas sp.		#2# casein, acid-denatured hemoglobin <2>; #3# for casein digestion <7>	2.7
3.2.1.20	Q5K3Q3	2.5-3.0	Ferroplasma acidiphilum	16478448	None	2.75
3.4.23.5	A1YZ22	2.5-3.0	Musca domestica	9713704,19815068	#7# hemoglobin <52>; #40# recombinant procathepsin D-like proteinase (CAD 3), after auto-activation has a pH optimum of 2.5-3.0 <125>	2.75
1.11.1.10	P04963	2.0-3.5	Leptoxyphium fumago		#6# degradation of crystal violet <85>	2.75
1.10.3.2	A0A0U2US60	2.8	Daucus carota	26626349	#209# laccase DcLac1 <255>	2.8
3.2.1.76	P35475	2.8	Homo sapiens	28088454	None	2.8
3.4.22.33	O23791	2.9	Ananas comosus	24965557	#3# optimum activity at pH 2.9 for hemoglobin <22>; #3# with hemoglobin as substrate <21>	2.9
3.2.1.23	P29853	2.0-4.0	Aspergillus niger	19806354	None	3.0
3.2.1.123	Q9GV16	3.0	Cyanea nozakii	11481044,10882727	#7# transglycosylation reaction in the presence of 25% methanol <8>	3.0
1.10.3.2	A8N3P5	3.0	Coprinopsis cinerea	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
3.4.23.24	P0CY29	3.0	Candida albicans	21646240	#16# isozyme Sap3 <49>	3.0
3.4.23.18	Q06902	3.0	Aspergillus oryzae	8138,29561,28821318,30303449	#2# cytochrome c <14,15>; #16# pH optimum for soy protein hydrolysis <34>	3.0
3.4.14.9	O14773	3.0	Homo sapiens	29378960	#11# endopeptidase <52>	3.0
1.10.3.2	Q08AC1	3.0	Coprinopsis cinerea	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
3.4.23.1	E2IKQ9	3.0	Lateolabrax japonicus	6766746,17493857,21167955	#19# hemoglobin <31>; #13# isoform P-I <89>	3.0
3.2.1.1	A0A1D9CEW3	3.0	Arthrobacter agilis	7813489,27714640	#253# recombinant enzyme <353>	3.0
3.4.23.5	A0A1V0QH26	3.0	Spodoptera exigua	7584842,6360207,7317436,5419752,8673082,15050524,19995700,20843039,28351737	#1# hemoglobin <43>; #15# albumin <7>; #6# 2 optima: pH 3.0 and pH 4.5, hydrolysis of hemoglobin <27>; #10# myofibrils <32>; #17# substrate 7-methoxycoumarin-4-yl-GKPILFFRLK(2,4-dinitrophenyl)-D-Arg <62>; #6# complexification of hemoglobin with haptoglobin reduces the optimum pH from 3.0 to 2.8 for degradation and simultaneously causes a 50% decrease in degradation rate 50% <123>	3.0
3.2.1.8	D6MYS9	3.0	Bispora sp. MEY-1	19147106,20077114	None	3.0
1.11.1.16	O94753	3.0	Pleurotus eryngii	8647081,14735217,10187820,21980920,23199738,27129968	#7# wild-type <31>; #4# Mn2+-dependent reaction <10>; #5# Mn2+-independent oxidation of substituted phenols and aromatic molecules <13>; #5# oxidation of 2,6-dimethoxyphenol, absence of Mn2+ <2>; #12# and 4.2, substrate 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid), presence of Mn2+ <36>; #12# and 6.5, substrate veratryl alcohol, absence of Mn2+ <36>; #12# substrate 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid), absence of Mn2+ <36>; #2# pH optimum for Orange II oxidation <44>; #2,4,5,12# pH optimum for oxidation of aromatic compounds <46>	3.0
1.11.1.7	A0A0A0Y4H8	3.0	Trachycarpus fortunei	16403545,28523913	#42# activity with reduced 2,2-azino-bis-(3-ethylbenzthiazole-6-sulfonic acid), isoenzyme POX II <74>	3.0
3.2.1.78	Q00012	3.0	Aspergillus aculeatus	11162394	None	3.0
3.1.1.5	Q7Z8L3	3.0	Cyberlindnera jadinii	16495653	#38# two pH-optima: pH 3.0 and pH 7.5 <60>	3.0
3.2.1.26	Q2XQ20	3.0	Bambusa oldhamii	16608237	#55# invertase 1 <219,231>; #118# recombinant His-tagged isozyme betafruct2 <103>	3.0
3.1.1.73	A0A1S5XVA5	3.0	Talaromyces piceae		None	3.0
1.11.1.19	I2DBY1	3.0	Auricularia auricula-judae	10049859,26205819,26120933	#11# using 1-amino-4-methylamino-2-sodium anthraquinone sulfonate as substrate <4>	3.0
1.10.3.2	A0A0A0Q5C7	3.0	Cerrena sp.	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
3.1.3.8	Q6U677	3.0	Obesumbacterium proteus	9232886,9821286,12693443,15251209,19929969,25963718	#7# at 58°C, and a second optimum at pH 5.5 <27>; #128# substrate: D-ribose 5-phosphate <71>; #7# and 5.5 <133>; #78# optimum I for both isozymes RO1 and RO2 <163>	3.0
1.11.1.19	D1A807	3.0	Thermomonospora curvata	10049859,26205819,26120933	#11# using 1-amino-4-methylamino-2-sodium anthraquinone sulfonate as substrate <4>	3.0
3.2.1.14	B3A042	3.0	Ananas comosus	7772831,12137495,11846790,12452952,18998701	#134# PLC-B, also active peak at pH 7 <69>; #60# with chitopentaose as substrate <87>; #80# with chitosan as substrate <74>; #84# glycosylated enzyme Chi3 <221>	3.0
1.10.3.2	Q12718	3.0	Trametes versicolor	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
1.10.3.2	Q5IR80	3.0	Trametes versicolor	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
1.10.3.2	J9S5G3	3.0	Streptomyces viridochromogenes	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
3.2.1.4	Q60032	3.0	Thermotoga maritima	23627611	#212,222# chimeric fusion protein CelA-SSO1949-CelA, that consists of 70 amino acids CelA followed by 163 amino acids SSO1949 and 29 amino acids CelA <254>; #222# hybrid protein (CelA-SSO1949-CelA) based on beta-endoglucanase from Sulfolobus solfataricus P2 and beta-endoglucanase from Thermotoga maritima <254>	3.0
2.4.1.5	A0A0R2GUC5	3.0	Limosilactobacillus ingluviei	31650841	#3# dextransucrase cross-linked enzyme aggregates operate at optimal pH of 3.0 and temperature of 60°C <137>	3.0
3.1.3.2	P24031	3.0	Saccharomyces cerevisiae	4660461,15048567,2407294	#44# hydrolysis of 4-nitrophenyl phosphate <70>; #114# APase1 <182>; #184# thiamine-repressible acid phosphatase <277>	3.0
1.10.3.2	X5JAK9	3.0	Coprinus comatus	11884407,11916665,14717699,12949171,15195712,16410773,18467859,20716485,22210206,20855194,23073779,23076537,23081836,25778839,25257594,25083593,25876603,28384218,25356987,24710109,24178808	#79# both isoenzymes, substrate 2,6-dimethoxyphenol <56>; #3# or less, substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <55>; #94# Lac I and Lac II, substrate 2,6-dimethoxyphenol <93>; #83,91# substrate 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid) <74,81>; #25# substrates 2,2-azinobis(3-ethylbenzothiazoline-6-sulfonic acid), 2,6-dimethoxyphenol, catechol, pyrogallol <90>; #120# oxidation of 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonate) <142>; #74# substrate: 2,6-dimethoxyphenol <239>; #179# wild-type enzyme with substrate 2,6-dimethoxyphenol <186>; #185,187# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)  <195,200>; #188# with substrate 2,2-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid), recombinant Lac1 <196>; #192# with substrate 2,2-azinobis-(3-ethylbenzthiazoline-6-sulfonate) <199>; #15# with substrate o-tolidine <188>; #191# with substrates 2,6-dimethoxyphenol and guaiacol <198>; #199# below, substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <219>; #16,24# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) <242,246>; #205,215,221,222,223,224# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <241,247>; #207# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac3 <248>; #219# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid), isoenzyme Lac4 <248>; #200# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) or 2,6-dimethoxyphenol <221>; #102# substrate: 2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonix acid) or 2,6-dimethoxyphenol <221>	3.0
