uniprot_id,reaction_type,fit_mean,fit_std,num_act,max_min_diff,enzyme_type,enzyme_type_sub,acceptor
A0A0F7VP60,,7.5,,1,,Hydrolases,ester bonds,
A0A0F7X030,,8.0,,1,,Translocases,amino acids and peptides,
A0A0F7YYA5,,5.5,,1,,Hydrolases,Glycosylases,
A0A0G2K047,,8.0,,1,,Ligases,carbon-sulfur bonds,
A0A0G2K1W9,,8.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0G2QUN1,,4.0,,1,,Hydrolases,Glycosylases,
A0A0G2UEA5,,8.6,,1,,Transferases,Glycosyltransferases,
A0A0G2YFI9,,7.5,,1,,Transferases,phosphorus-containing groups,
A0A0G3IAY2,,7.25,,1,,Hydrolases,ether bonds,
A0A0G3ICV8,,7.25,,1,,Hydrolases,ether bonds,
A0A0G4AKV1,,5.75,,1,,Hydrolases,ester bonds,
A0A0G4DBU7,,6.6,,1,,Lyases,Carbon-carbon,
A0A0G4JRN2,,6.0,,1,,Transferases,Glycosyltransferases,
A0A0G4NUS2,,7.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0G4QKE4,,7.5,,1,,Hydrolases,ester bonds,
A0A0H1IHR6,,7.4,,1,,Hydrolases,Glycosylases,
A0A0H2WVX4,,8.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0H2WWV6,,8.0,,1,,Transferases,Glycosyltransferases,
A0A0H2YQB3,,7.5,,1,,Hydrolases,Glycosylases,
A0A0H2YQI3,,7.5,,1,,Hydrolases,Glycosylases,
A0A0H2YU91,,7.3,,1,,Hydrolases,Glycosylases,
A0A0H2ZFK2,,7.6,,1,,Hydrolases,ester bonds,
A0A0H2ZQZ4,,8.5,,1,,Hydrolases,ester bonds,
A0A0H3BY05,,6.5,,1,,Transferases,phosphorus-containing groups,
A0A0H3C8Q1,,8.0,,1,,Hydrolases,acid anhydrides,
A0A0H3FP92,,7.0,,1,,Lyases,Carbon-carbon,
A0A0H3FYM1,oxidation,11.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0H3GCV8,,7.0,,1,,Hydrolases,ester bonds,
A0A0H3JPX6,,9.666666666666666,,1,,Hydrolases,ester bonds,
A0A0H3JUU7,,7.65,,1,,Ligases,carbon-nitrogen bonds,
A0A0H3KZS3,,7.5,,1,,Oxidoreductases,CH-OH group of donors,other
A0A0H3M8A2,,7.5,,1,,Hydrolases,ester bonds,
A0A0H3MFZ3,,8.5,,1,,Transferases,phosphorus-containing groups,
A0A0H3U0Y7,reduction,7.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0H3WG62,,8.0,,1,,Hydrolases,ester bonds,
A0A0H3WKG6,,7.0,,1,,Hydrolases,Glycosylases,
A0A0H4FQ60,,6.5,,1,,Hydrolases,peptide bonds (peptidases),
A0A0H4ILM3,,7.8,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A0H4J0K0,,7.8,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A0H4NXC5,,7.0,,1,,Oxidoreductases,other nitrogenous compounds as donors,NAD+ or NADP+
A0A0H4SN47,,7.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0H5S3P5,,8.5,,1,,Transferases,phosphorus-containing groups,
A0A0J8EGV0,,6.75,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A0J9X1X3,,8.5,,1,,Oxidoreductases,CH-NH2 group of donors,oxygen
A0A0K0JFP3,,8.4,,1,,Transferases,phosphorus-containing groups,
A0A0K0M737,,4.5,,1,,Hydrolases,Glycosylases,
A0A0K1P4J7,,6.0,,1,,Hydrolases,Glycosylases,
A0A0K2F2K4,,7.2,,1,,Transferases,"alkyl or aryl groups, other than methyl groups",
A0A0K2RV92,,5.0,,1,,Hydrolases,Glycosylases,
A0A0K2SRV3,,5.5,,1,,Hydrolases,Glycosylases,
A0A0L8AFM7,,8.5,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A0M3KL46,,6.0,,1,,Oxidoreductases,oxygenases,other
A0A0M3Q1Q3,,6.8,,1,,Lyases,Carbon-oxygen,
A0A0M3VI47,,8.0,,1,,Lyases,Carbon-sulfur,
A0A0M4KE44,,9.0,,1,,Transferases,Glycosyltransferases,
A0A0M4N1K4,,5.0,,1,,Hydrolases,Glycosylases,
A0A0M4N5N7,,6.0,,1,,Lyases,Carbon-oxygen,
A0A0M4NIK2,,6.666666666666667,,1,,Hydrolases,Glycosylases,
A0A0M4UR95,oxidation,9.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0M4UR95,reduction,6.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0M4UW33,,7.25,,1,,Hydrolases,ester bonds,
A0A0N7AXL7,,9.0,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A0N7E7X2,,5.0,,1,,Hydrolases,Glycosylases,
A0A0N9GZK8,,5.0,,1,,Hydrolases,Glycosylases,
A0A0N9LQI1,,5.0,,1,,Hydrolases,Glycosylases,
A0A0N9XBU7,,9.0,,1,,Hydrolases,ester bonds,
A0A0P0IJ73,,5.0,,1,,Hydrolases,Glycosylases,
A0A0P0IZM9,,5.0,,1,,Hydrolases,Glycosylases,
A0A0P9JFY5,,7.5,,1,,Isomerases,Intramolecular oxidoreductases,
A0A0R1RJ30,,6.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0R4IT32,,9.0,,1,,Transferases,sulfur-containing groups,
A0A0S1RUN4,,7.6,,1,,Transferases,Acyltransferases,
A0A0S1X9S7,,8.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0S2E7W7,,7.4,,1,,Transferases,Acyltransferases,
A0A0S2E7Z1,,7.2,,1,,Transferases,Acyltransferases,
A0A0S2E8T0,,8.0,,1,,Oxidoreductases,superoxide as acceptor,NAD+ or NADP+
A0A0S2UQ60,,6.5,,1,,Hydrolases,Glycosylases,
A0A0S3WYP3,,8.0,,1,,Transferases,phosphorus-containing groups,
A0A0S3X5N5,,8.0,,1,,Transferases,phosphorus-containing groups,
A0A0S4IEN1,,7.333333333333333,,1,,Oxidoreductases,CH-NH group of donors,oxygen
A0A0U1MUE2,,8.5,,1,,Hydrolases,ester bonds,
A0A0U1RGY0,,8.5,,1,,Isomerases,Racemases and epimerases,
A0A0U1YLU5,,7.0,,1,,Oxidoreductases,CH-OH group of donors,oxygen
A0A0U2D6P6,,6.0,,1,,Hydrolases,Glycosylases,
A0A0U2LZJ6,,2.7,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A0U2RV57,,5.5,,1,,Hydrolases,Glycosylases,
A0A0U2US60,,2.7,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A0U3FQH7,reduction,7.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A0U3JTC9,,5.0,,1,,Lyases,Carbon-carbon,
A0A0U3U5E8,,8.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A0U5KG73,,8.3,,1,,Lyases,Carbon-sulfur,
A0A0W1QGK2,,9.0,,1,,Transferases,phosphorus-containing groups,
A0A0X1KHE6,,7.5,,1,,Lyases,Carbon-nitrogen,
A0A0X9PFK4,,8.0,,1,,Hydrolases,peptide bonds (peptidases),
A0A0X9SHN5,,8.0,,1,,Lyases,Carbon-oxygen,
A0A109P1X1,,7.5,,1,,Hydrolases,ester bonds,
A0A109PTH9,,8.0,,1,,Lyases,Carbon-oxygen,
A0A125QVX1,,5.5,,1,,Transferases,Glycosyltransferases,
A0A125S6K7,,5.25,,1,,Oxidoreductases,oxygenases,other
A0A125S6K8,,5.25,,1,,Oxidoreductases,oxygenases,other
A0A125SUY5,,7.25,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A127CMI7,,7.0,,1,,Oxidoreductases,oxygenases,other
A0A140CWW4,,3.75,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A140IL90,,6.5,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A140N5J7,,5.5,,1,,Hydrolases,ester bonds,
A0A141NXG8,,8.0,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A142EHU4,,8.0,,1,,Hydrolases,peptide bonds (peptidases),
A0A143G976,,7.0,,1,,Oxidoreductases,peroxide as acceptor,NAD+ or NADP+
A0A144A134,,4.5,,1,,Hydrolases,ester bonds,
A0A144A2H0,,7.5,,1,,Hydrolases,peptide bonds (peptidases),
A0A144KZD6,,4.0,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A144KZF3,,4.0,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A144KZI7,,4.0,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A144KZJ7,,4.0,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A144KZK6,,4.0,,1,,Oxidoreductases,diphenols and related substances as donors,oxygen
A0A144QFN1,,8.0,,1,,Ligases,carbon-sulfur bonds,
A0A146FAY1,,5.5,,1,,Hydrolases,Glycosylases,
A0A146FAZ1,,5.5,,1,,Hydrolases,Glycosylases,
A0A150JSL8,,9.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A158RFS7,,7.333333333333333,,1,,Oxidoreductases,CH-NH2 group of donors,other
A0A165QBG6,,8.0,,1,,Oxidoreductases,oxygenases,other
A0A166HLT6,,5.0,,1,,Hydrolases,Glycosylases,
A0A167V6N5,,7.5,,1,,Transferases,one-carbon groups,
A0A168KIJ9,,4.0,,1,,Hydrolases,Glycosylases,
A0A168VCK5,,5.0,,1,,Hydrolases,Glycosylases,
A0A169PW02,,5.5,,1,,Hydrolases,Glycosylases,
A0A172J2G3,,8.0,,1,,Transferases,Glycosyltransferases,
A0A172MAU1,,6.5,,1,,Hydrolases,Glycosylases,
A0A172Q4D8,,4.0,,1,,Hydrolases,Glycosylases,
A0A172WCE4,,9.0,,1,,Transferases,phosphorus-containing groups,
A0A178U4P5,,8.0,,1,,Transferases,Glycosyltransferases,
A0A178V136,,7.5,,1,,Oxidoreductases,oxygenases,other
A0A185NWC6,,6.75,,1,,Isomerases,Intramolecular lyases,
A0A191ZDL6,,9.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A192YD12,,7.5,,1,,Transferases,"alkyl or aryl groups, other than methyl groups",
A0A193AU77,,4.5,,1,,Transferases,Glycosyltransferases,
A0A193AUF6,,5.0,,1,,Transferases,Glycosyltransferases,
A0A1A6GB48,,5.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A1A9TAK5,,6.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A1B1FIV8,,7.5,,1,,Hydrolases,ester bonds,
A0A1B1FIW0,,7.5,,1,,Hydrolases,ester bonds,
A0A1B1FIW2,,7.5,,1,,Hydrolases,ester bonds,
A0A1B1FIZ1,,7.5,,1,,Hydrolases,ester bonds,
A0A1B1KJ01,,4.0,,1,,Oxidoreductases,other nitrogenous compounds as donors,NAD+ or NADP+
A0A1B1LZ58,,10.5,,1,,Lyases,Carbon-oxygen,
A0A1B1PF34,,7.5,,1,,Oxidoreductases,CH-NH2 group of donors,oxygen
A0A1B1PJB0,,7.333333333333333,,1,,Transferases,Acyltransferases,
A0A1B1PJB7,,7.333333333333333,,1,,Transferases,Acyltransferases,
A0A1B1Y261,,8.0,,1,,Hydrolases,Glycosylases,
A0A1B1Y5P4,,8.1,,1,,Hydrolases,ester bonds,
A0A1B2BII0,,8.5,,1,,Hydrolases,ester bonds,
A0A1B2CX88,,5.0,,1,,Hydrolases,Glycosylases,
A0A1B2K4A7,,4.0,,1,,Hydrolases,Glycosylases,
A0A1B3PS02,,4.971428571428571,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A1B3TNR9,,7.8,,1,,Oxidoreductases,oxygenases,other
A0A1B4XBH6,,7.5,,1,,Transferases,Glycosyltransferases,
A0A1B4Z3V0,,6.25,,1,,Transferases,one-carbon groups,
A0A1C8M593,reduction,6.8,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A1C9II22,,6.0,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A1C9U5X5,,8.166666666666666,,1,,Transferases,one-carbon groups,
A0A1C9ZZ39,,8.4,,1,,Lyases,Carbon-carbon,
A0A1D0BQV8,,6.0,,1,,Hydrolases,ester bonds,
A0A1D7YZ01,,5.0,,1,,Hydrolases,ester bonds,
A0A1D8GRD5,,8.166666666666666,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A1D8PEU2,,7.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A1D8PQ07,,9.5,,1,,Oxidoreductases,CH-OH group of donors,NAD+ or NADP+
A0A1D9CEW3,,3.0,,1,,Hydrolases,Glycosylases,
A0A1E1FNX1,,7.25,,1,,Hydrolases,ester bonds,
A0A1E1GL61,,5.333333333333333,,1,,Oxidoreductases,CH-OH group of donors,quinone
A0A1E1GL87,,5.0,,1,,Oxidoreductases,CH-OH group of donors,quinone
A0A1E7YQH3,,8.0,,1,,Oxidoreductases,oxygenases,other
A0A1G8DI07,,9.0,,1,,Hydrolases,Glycosylases,
A0A1I0U0N3,,7.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A1I7MIR7,,8.25,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A1I7MT66,,7.0,,1,,Isomerases,Intramolecular transferases,
A0A1I9KRQ0,,4.5,,1,,Oxidoreductases,peroxide as acceptor,NAD+ or NADP+
A0A1I9LRU1,,7.25,,1,,Transferases,phosphorus-containing groups,
A0A1J0AHX8,,8.0,,1,,Transferases,Acyltransferases,
A0A1J0KK43,,8.833333333333334,,1,,Isomerases,Racemases and epimerases,
A0A1J0TVF4,,7.5,,1,,Oxidoreductases,oxygenases,other
A0A1J1DSP4,,7.25,,1,,Oxidoreductases,oxygenases,other
A0A1J1DVP9,,6.5,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A1J4N453,,5.5,,1,,Lyases,Carbon-oxygen,
A0A1L2F0V9,,5.6,,1,,Isomerases,Intramolecular oxidoreductases,
A0A1L6Z980,,7.0,,1,,Hydrolases,Glycosylases,
A0A1L7HA00,,5.8,,1,,Hydrolases,Glycosylases,
A0A1L7NQ96,,7.75,,1,,Isomerases,Racemases and epimerases,
A0A1L8D6P5,,8.0,,1,,Oxidoreductases,aldehyde or oxo group of donors,oxygen
A0A1M5M5H3,oxidation,10.5,,1,,Oxidoreductases,CH-NH2 group of donors,NAD+ or NADP+
A0A1M5M5H3,reduction,9.0,,1,,Oxidoreductases,CH-NH2 group of donors,NAD+ or NADP+
A0A1P8L1E1,,5.5,,1,,Hydrolases,Glycosylases,
A0A1Q2T258,,6.4,,1,,Lyases,Carbon-carbon,
A0A1Q2U2H0,,6.0,,1,,Hydrolases,Glycosylases,
A0A1Q2U3E4,,4.5,,1,,Hydrolases,Glycosylases,
A0A1R1AUM9,,7.5,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A1R7T3A4,,7.5,,1,,Hydrolases,peptide bonds (peptidases),
A0A1S1YTI6,,7.25,,1,,Hydrolases,Glycosylases,
A0A1S2XQM1,,8.0,,1,,Hydrolases,ester bonds,
A0A1S5RW73,,7.0,,1,,Isomerases,Intramolecular lyases,
A0A1S5VH74,,8.5,,1,,Transferases,Glycosyltransferases,
A0A1S5VH75,,8.5,,1,,Hydrolases,Glycosylases,
A0A1S5WII4,,5.2,,1,,Hydrolases,peptide bonds (peptidases),
A0A1S6KK55,,4.75,,1,,Oxidoreductases,peroxide as acceptor,NAD+ or NADP+
A0A1S6WME7,,6.0,,1,,Hydrolases,ester bonds,
A0A1S6XWY4,,6.0,,1,,Oxidoreductases,CH-NH2 group of donors,oxygen
A0A1S6YJF3,,8.0,,1,,Hydrolases,ester bonds,
A0A1S7D3W6,,8.0,,1,,Hydrolases,Glycosylases,
A0A1U7EWW7,,8.0,,1,,Oxidoreductases,aldehyde or oxo group of donors,NAD+ or NADP+
A0A1U7Z3Y9,,7.0,,1,,Oxidoreductases,"paired donors, with molecular oxygen",other
A0A1U8QU02,,8.0,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A1U8X5K7,,4.5,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
A0A1V0D8Y5,,7.2,,1,,Lyases,Carbon-oxygen,
A0A1V0ELS9,,8.0,,1,,Oxidoreductases,oxygenases,other
A0A1V0ELS9,oxidation,7.66344223109688,0.9877318467831564,4,,Oxidoreductases,oxygenases,other
A0A1V0FWZ3,,4.0,,1,,Hydrolases,"carbon-nitrogen bonds, other than peptide bonds",
